INFO 2020-11-04 20:15:15,967 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.bootstrap3.css HTTP/1.1" 200 10602
INFO 2020-11-04 20:15:15,972 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.css HTTP/1.1" 200 8425
INFO 2020-11-04 20:15:15,974 basehttp 124 "GET /static/xadmin/vendor/select2/select2.js HTTP/1.1" 200 104906
INFO 2020-11-04 20:15:15,976 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.js HTTP/1.1" 200 98602
INFO 2020-11-04 20:15:15,978 basehttp 124 "GET /static/xadmin/js/xadmin.widget.select.js HTTP/1.1" 200 1344
INFO 2020-11-04 20:15:19,998 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-11-04 20:15:20,022 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:21:06,217 basehttp 124 "POST /admin/home/navigation/add/ HTTP/1.1" 302 0
INFO 2020-11-04 20:21:10,303 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 28822
INFO 2020-11-04 20:21:10,345 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,352 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,361 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,362 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,363 basehttp 124 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,363 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,364 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,366 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,382 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,382 basehttp 124 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,382 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,382 basehttp 124 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,383 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,396 basehttp 124 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,396 basehttp 124 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,396 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:10,397 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 304 0
INFO 2020-11-04 20:21:14,402 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:21:14,418 basehttp 124 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 0
INFO 2020-11-04 20:21:21,903 basehttp 124 "GET /admin/home/navigation/add/ HTTP/1.1" 200 19192
INFO 2020-11-04 20:21:21,951 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 304 0
WARNING 2020-11-04 20:21:21,955 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:21:25,978 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-11-04 20:21:26,025 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:21:44,871 basehttp 124 "POST /admin/home/navigation/add/ HTTP/1.1" 302 0
INFO 2020-11-04 20:21:48,947 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 29426
INFO 2020-11-04 20:21:53,025 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:21:58,982 basehttp 124 "GET /admin/home/navigation/1/update/ HTTP/1.1" 200 19516
WARNING 2020-11-04 20:21:59,027 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:22:03,043 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-11-04 20:22:03,061 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:22:52,970 basehttp 124 "POST /admin/home/navigation/1/update/ HTTP/1.1" 302 0
INFO 2020-11-04 20:22:57,071 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 29368
INFO 2020-11-04 20:22:57,103 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-theme.css HTTP/1.1" 304 0
INFO 2020-11-04 20:22:57,126 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 304 0
INFO 2020-11-04 20:22:57,127 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 304 0
INFO 2020-11-04 20:22:57,135 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 304 0
INFO 2020-11-04 20:22:57,136 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.actions.js HTTP/1.1" 304 0
INFO 2020-11-04 20:22:57,141 basehttp 124 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 304 0
INFO 2020-11-04 20:23:01,157 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:25:59,240 basehttp 124 "GET /admin/home/navigation/add/ HTTP/1.1" 200 19192
WARNING 2020-11-04 20:25:59,283 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:26:03,290 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-11-04 20:26:03,324 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:27:01,094 basehttp 124 "POST /admin/home/navigation/add/ HTTP/1.1" 302 0
INFO 2020-11-04 20:27:05,203 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 30026
INFO 2020-11-04 20:27:10,068 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:27:17,436 basehttp 124 "GET /admin/home/navigation/add/ HTTP/1.1" 200 19192
WARNING 2020-11-04 20:27:17,484 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:27:21,493 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-11-04 20:27:21,511 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:27:41,940 basehttp 124 "POST /admin/home/navigation/add/ HTTP/1.1" 302 0
INFO 2020-11-04 20:27:46,019 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 30620
INFO 2020-11-04 20:27:50,089 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:28:00,073 basehttp 124 "GET /admin/home/navigation/add/ HTTP/1.1" 200 19192
WARNING 2020-11-04 20:28:00,113 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:28:04,135 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-11-04 20:28:04,165 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:28:28,567 basehttp 124 "POST /admin/home/navigation/add/ HTTP/1.1" 302 0
INFO 2020-11-04 20:28:32,666 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 31226
INFO 2020-11-04 20:28:36,709 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:37:27,100 basehttp 124 "GET /admin/home/navigation/add/ HTTP/1.1" 200 19192
ERROR 2020-11-04 20:37:27,140 basehttp 124 "GET /admin/home/navigation/add/ HTTP/1.1" 500 59
INFO 2020-11-04 20:37:31,112 basehttp 124 "GET /admin/ HTTP/1.1" 200 14795
INFO 2020-11-04 20:37:31,168 basehttp 124 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 304 0
INFO 2020-11-04 20:37:31,176 basehttp 124 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 304 0
INFO 2020-11-04 20:37:35,197 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:37:45,297 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 32063
INFO 2020-11-04 20:37:49,349 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:37:57,156 basehttp 124 "GET /admin/home/navigation/add/ HTTP/1.1" 200 19192
INFO 2020-11-04 20:37:57,180 basehttp 124 "GET /static/xadmin/vendor/select2/select2.css HTTP/1.1" 304 0
INFO 2020-11-04 20:37:57,188 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.css HTTP/1.1" 304 0
INFO 2020-11-04 20:37:57,189 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.bootstrap3.css HTTP/1.1" 304 0
INFO 2020-11-04 20:37:57,205 basehttp 124 "GET /static/xadmin/vendor/select2/select2.js HTTP/1.1" 304 0
INFO 2020-11-04 20:37:57,206 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.js HTTP/1.1" 304 0
INFO 2020-11-04 20:37:57,209 basehttp 124 "GET /static/xadmin/js/xadmin.widget.select.js HTTP/1.1" 304 0
WARNING 2020-11-04 20:37:57,210 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:38:01,229 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-11-04 20:38:01,263 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:38:24,498 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 32063
INFO 2020-11-04 20:38:28,542 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:38:38,806 basehttp 124 "GET /admin/home/navigation/add/ HTTP/1.1" 200 19192
WARNING 2020-11-04 20:38:38,851 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:38:42,871 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-11-04 20:38:42,905 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
INFO 2020-11-04 20:39:34,974 basehttp 124 "POST /admin/home/navigation/add/ HTTP/1.1" 302 0
INFO 2020-11-04 20:39:39,086 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 33063
INFO 2020-11-04 20:39:39,129 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,131 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,140 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,140 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,142 basehttp 124 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,800 basehttp 124 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,801 basehttp 124 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,802 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,802 basehttp 124 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,803 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,804 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,821 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,822 basehttp 124 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,822 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,822 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,822 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:39,829 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2020-11-04 20:39:43,853 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
